2.907	2.06155	0.244978	367.834	1037.99
2.908	2.06155	0.244978	0.367467	7.21543
2.948	2.06157	0.244949	0.366351	7.21567
2.989	2.06159	0.244945	0.367261	7.21577
3.027	2.0616	0.244931	0.366836	7.2158
3.069	0.12355	0.00606295	-8.52189	-22.6396
3.109	0.121749	0.0128773	0.274855	0.403611
3.148	0.119041	0.0196433	0.289696	0.381929
3.189	0.11509	0.0288821	0.381327	0.354634
3.228	0.111197	0.0358	0.319775	0.339267
3.269	0.106132	0.0409793	0.250955	0.309691
3.308	0.098827	0.0474387	0.319597	0.252246
3.347	0.107678	0.0520196	0.254217	0.490345
3.388	0.0949527	0.0606003	0.40483	0.17715
3.429	0.104085	0.067177	0.341374	0.475667
3.468	0.0995686	0.0742023	0.381508	0.290587
3.509	0.107677	0.0833005	0.457811	0.475758
3.547	0.100304	0.0918965	0.477161	0.254054
3.59	0.0871932	0.0986874	0.390562	0.14909
3.628	0.0956411	0.0855033	-0.378825	0.443051
3.667	0.105301	0.0687409	-0.541596	0.492395
3.707	0.0980325	0.0734986	0.288661	0.25226
3.748	0.106793	0.0792005	0.332623	0.483282
3.787	0.0950459	0.09154	0.60004	0.185821
3.828	0.103569	0.0857677	-0.087808	0.46903
3.868	0.0982289	0.0862291	0.146225	0.278679
3.908	0.107189	0.0866935	0.147455	0.487159
3.948	0.100418	0.0976495	0.557326	0.266834
3.988	0.0875289	0.11649	0.881236	0.145233
4.028	0.0959514	0.113589	0.061626	0.441112
4.068	0.105306	0.0983391	-0.424376	0.485501
4.107	0.0969615	0.0995299	0.195095	0.232386
4.149	0.106013	0.0931627	-0.0876589	0.478803
4.19	0.0952062	0.0955729	0.23154	0.20143
4.228	0.103914	0.0834177	-0.354684	0.478273
4.268	0.0982787	0.0832394	0.11817	0.273536
4.307	0.107193	0.0760942	-0.160673	0.489455
4.348	0.100457	0.0834203	0.393157	0.269457
4.387	0.0894738	0.0868649	0.262782	0.17235
4.428	0.0982588	0.0733536	-0.384286	0.45104
4.468	0.108518	0.0599618	-0.412248	0.508054
4.511	0.0956483	0.067061	0.348239	0.18512
